,name,username,license,tags,freesound_id,path
0,Before-After remix of 78674__joe93barlow__on0-1.flac,Timbre,https://creativecommons.org/licenses/by-nc/4.0/,"['78674', 'ignite', 'joe93barlow', 'laser', 'lazer', 'light-saber', 'light-sabre', 'lightsaber', 'lightsabre', 'request', 'sabre', 'star', 'star-wars', 'start', 'wars', 'whoosh']",115591,files/115591_1015240-hq.ogg
1,on0.wav,joe93barlow,http://creativecommons.org/publicdomain/zero/1.0/,"['lightsaber', 'star', 'wars']",78674,files/78674_1083679-hq.ogg
2,Lightsaber #1,danlucaz,http://creativecommons.org/publicdomain/zero/1.0/,"['starwars', 'series', 'energy', 'film', 'swings', 'saber', 'space', 'movie', 'fight', 'power', 'lightsaber', 'noise', 'star', 'sci-fi', 'paulstretch', 'wars', 'game', 'mouth', 'star-wars', 'laser', 'light', 'tremolo', 'swing', 'reverb', 'voice']",517746,files/517746_9996727-hq.ogg
3,Lightsaber Ignition,pip_,http://creativecommons.org/publicdomain/zero/1.0/,"['sound', 'star', 'wars', 'lightsaber', 'synth', 'ignition', 'ignite', 'saber', 'light', 'start']",557194,files/557194_6737463-hq.ogg
4,Lightsaber Whoosh,h2p34,http://creativecommons.org/publicdomain/zero/1.0/,"['Hit', 'Whoosh', 'Lightsaber', 'Sword', 'Electro', 'Electronic']",650564,files/650564_9534185-hq.ogg
5,lightsaber4.mp3,gyzhor,http://creativecommons.org/publicdomain/zero/1.0/,"['ignition', 'light', 'lightsaber', 'saber']",47126,files/47126_383523-hq.ogg
6,lightsaber1.mp3,gyzhor,http://creativecommons.org/publicdomain/zero/1.0/,"['light', 'lightsaber', 'mixdown', 'saber']",47123,files/47123_383523-hq.ogg
7,lightsaber2.mp3,gyzhor,http://creativecommons.org/publicdomain/zero/1.0/,"['extinguish', 'light', 'lightsaber', 'saber']",47124,files/47124_383523-hq.ogg
8,lightsaber5.mp3,gyzhor,http://creativecommons.org/publicdomain/zero/1.0/,"['idle', 'light', 'lightsaber', 'loop', 'saber']",47127,files/47127_383523-hq.ogg
9,lightsaber3.mp3,gyzhor,http://creativecommons.org/publicdomain/zero/1.0/,"['light', 'lightsaber', 'saber', 'swing']",47125,files/47125_383523-hq.ogg
10,bzzzzzzzzzzpht.mp3,FartMuffin,http://creativecommons.org/publicdomain/zero/1.0/,"['drive-by', 'scifi', 'distorted', 'flange', 'science-fiction', 'plane', 'swoop', 'buzz', 'phase', 'passing', 'ray', 'lightsaber']",571423,files/571423_10643288-hq.ogg
